Матеріал: монолитно-каркасные та загальна площа: 71 / 33.1 / 14.9 м².,Правди
Матеріал: кирпичные та загальна площа: 57 / 20 / 33 м².,Малопідвальна
Матеріал: кирпичные та загальна площа: 149 / 87 / 16 м².,Бойчука
Матеріал: монолитно-каркасные та загальна площа: 50 / 17 / 15 м².,Зарічна
Матеріал: панельные та загальна площа: 75 / 46 / 11 м².,Предславинська
Матеріал: монолитно-каркасные та загальна площа: 92 м².,Івана Мазепи
Матеріал: утепленная панель та загальна площа: 60 / 30 / 11.1 м².,Радченка
Матеріал: 0 та загальна площа: 70.99 / 47.72 / 11.26 м².,Лабораторний
Матеріал: 0 та загальна площа: 60.51 / 16 / 24.9 м².,Конєва
Матеріал: <span>6 июня 2020 г.</span> та загальна площа: 55 / - / 16 м².,Шаповала
Матеріал: монолитно-каркасные та загальна площа: 83 / 48 / 12 м².,Дніпровська
Матеріал: монолитно-каркасные та загальна площа: 55 / 20 / 14 м².,Клеманська
Матеріал: <span>4 ноября 2020 г.</span> та загальна площа: 36 / - / 10 м².,Григоренка
Матеріал: кирпичные та загальна площа: 65 / 40 / 8 м².,Туполєва
Матеріал: монолитно-каркасные та загальна площа: 112 / 43 / 26 м².,Хмельницького
Матеріал: монолитно-каркасные та загальна площа: 50 / 32.1 / 10 м².,Саперне Поле
Матеріал: <span>18 февраля</span> та загальна площа: 68 / 28.78 / 19.58 м².,Героїв Сталінграда
Матеріал: монолитно-каркасные та загальна площа: 85 / 42 / 18 м².,Дніпровська
Матеріал: утепленная панель та загальна площа: 51 / 30 / 7 м².,Тарасівська
Матеріал: <span>30 июня 2020 г.</span> та загальна площа: 46 / 22 / 16 м².,Краківська
Матеріал: монолитно-каркасные та загальна площа: 207 / 95 / 48 м².,Юнацька
Матеріал: монолитно-каркасные та загальна площа: 130 / 73 / 14 м².,Клеманська
Матеріал: монолитно-каркасные та загальна площа: 81 / 40 / 15 м².,Героїв Сталінграда
Матеріал: <span>6 мая 2020 г.</span> та загальна площа: 41 / 13 / 17 м².,Драгомирова
Матеріал: монолитно-каркасные та загальна площа: 50 / 29 / 21 м².,*** not found
Матеріал: кирпичные та загальна площа: 54 / 41 / 6 м².,Драгоманова
Матеріал: 0 та загальна площа: 83 / - / 13 м².,Українки
Матеріал: кирпичные та загальна площа: 81 / 50 / 9 м².,Тимошенка
Матеріал: кирпичные та загальна площа: 44 / 30 / 6 м².,Маяковського
Матеріал: монолитно-каркасные та загальна площа: 90 / 47 / 14 м².,Дмитрівська
Матеріал: 0 та загальна площа: 79 / - / 14 м².,Курбаса
Матеріал: 0 та загальна площа: 43 / 13.61 / 16.84 м².,Комарова
Матеріал: кирпичные та загальна площа: 51 / 29 / 8 м².,Драгоманова
Матеріал: монолитно-каркасные та загальна площа: 126.1 / 75.2 / 17 м².,Драгомирова
Матеріал: утепленная панель та загальна площа: 54.9 / 29 / 8.5 м².,Моторний
Матеріал: монолитно-каркасные та загальна площа: 110 / 52 / 13 м².,Милославська
Матеріал: монолитно-каркасные та загальна площа: 106 / 46.5 / 34.2 м².,Бойчука
Матеріал: кирпичные та загальна площа: 72 / 47 / 9 м².,Закревського
Матеріал: <span>9 февраля</span> та загальна площа: 122 м².,Івана Федорова
Матеріал: <span>21 января</span> та загальна площа: 67 / - / 12 м².,Філатова
Матеріал: кирпичные та загальна площа: 273 / 240 / 27 м².,Перемоги
Матеріал: кирпичные та загальна площа: 83 / 48 / 13 м².,Миропільська
Матеріал: <span>27 января</span> та загальна площа: 45 / 17 / 13 м².,Григоренка
Матеріал: 0 та загальна площа: 74.6 м².,Юнацька
Матеріал: <span>29 июля 2020 г.</span> та загальна площа: 26.9 м².,Вишгородська
Матеріал: 0 та загальна площа: 49 / 15 / 25 м².,Жолудєва
Матеріал: монолитно-каркасные та загальна площа: 84.1 / 41.8 / 9.4 м².,Павлівська
Матеріал: кирпичные та загальна площа: 183 / 103 / 42 м².,Голосіївський
Матеріал: монолитно-каркасные та загальна площа: 48.3 / 20.8 / 11 м².,Осокорська
Матеріал: монолитно-каркасные та загальна площа: 76 / 20 / 6 м².,Вишгородська
Матеріал: монолитно-каркасные та загальна площа: 160 м².,Драгомирова
Матеріал: монолитно-каркасные та загальна площа: 40.82 / 10.28 / 15.42 м².,Тютюнника
Матеріал: кирпичные та загальна площа: 59.5 / 26.9 / 13.9 м².,Маккейна
Матеріал: 0 та загальна площа: 73 / 29 / 11 м².,Івана Мазепи
Матеріал: <span>21 декабря 2020 г.</span> та загальна площа: 46.79 / 14.6 / 18.43 м².,Героїв Сталінграда
Матеріал: панельные та загальна площа: 44 / 18 / 13 м².,Липківського
Матеріал: кирпичные та загальна площа: 75 / 35.6 / 17.3 м².,*** not found
Матеріал: монолитно-каркасные та загальна площа: 60 / 21 / 15 м².,Коновальця
Матеріал: кирпичные та загальна площа: 34 / 18 / 7 м².,Максимовича
Матеріал: 0 та загальна площа: 65 / 41 / 8 м².,Зарічна
Матеріал: монолитно-каркасные та загальна площа: 190 м².,Голосіївська
Матеріал: кирпичные та загальна площа: 240 / 78 / 25 м².,Ясинуватський
Матеріал: монолитно-каркасные та загальна площа: 85 м².,*** not found
Матеріал: монолитно-каркасные та загальна площа: 48 / 36 / 6 м².,Колоса
Матеріал: монолитно-каркасные та загальна площа: 75 / 39.6 / 15.5 м².,Правди
Матеріал: кирпичные та загальна площа: 60 / 38 / 20 м².,Велика Васильківська
Матеріал: утепленная панель та загальна площа: 49.7 / 19 / 12.2 м².,Голосіївський
Матеріал: панельные та загальна площа: 47.18 / 31 / 5.8 м².,*** not found
Матеріал: монолитно-каркасные та загальна площа: 50 / 18 / 26 м².,Бойчука
Матеріал: монолитно-каркасные та загальна площа: 71 м².,Центральна
Матеріал: <span>9 февраля</span> та загальна площа: 30.34 / 13 / 5 м².,Ясинуватський
Матеріал: утепленная панель та загальна площа: 68 / 36 / 12 м².,Райдужна
Матеріал: кирпичные та загальна площа: 44 м².,Ломоносова
Матеріал: монолитно-каркасные та загальна площа: 48 / 13.4 / 18.2 м².,
Матеріал: <span>22 декабря 2020 г.</span> та загальна площа: 46 м².,*** not found
Матеріал: <span>16 февраля</span> та загальна площа: 63.9 / 28.3 / 18.6 м².,Гусовського
Матеріал: кирпичные та загальна площа: 92.48 / 62.5 / 10.9 м².,Окіпної
Матеріал: монолитно-каркасные та загальна площа: 63 м².,Багговутівська
Матеріал: утепленная панель та загальна площа: 71 / 42 / 7 м².,Дружби Народів
Матеріал: панельные та загальна площа: 35 / 13 / 11 м².,Маккейна
Матеріал: <span>25 января</span> та загальна площа: 48 / 35 / 13 м².,Маланюка
Матеріал: монолитно-каркасные та загальна площа: 56 / 27.2 / 11.8 м².,Михайла Котельникова
Матеріал: монолитно-каркасные та загальна площа: 206 м².,Героїв Севастополя
Матеріал: монолитно-каркасные та загальна площа: 172 / 93 / 13 м².,Маланюка
Матеріал: 0 та загальна площа: 45 / 22 / 8 м².,Саперне Поле
Матеріал: монолитно-каркасные та загальна площа: 85 / 45 / 15 м².,Балтійський
